window_index,udp_pkt_count,udp_pkt_rate,avg_pkt_len,std_pkt_len,unique_src_ips,unique_dst_ports,entropy_src_ip,burst_100ms_max,pps_change,is_udp_flood,score_udp,severity_udp,rank_by_score
0,110,110.0,98.49090909090908,22.920314710890885,3,20,1.3554121566517394,46,0.0,True,275.0,Critical,39
1,146,146.0,107.4931506849315,48.75494306872718,3,28,1.4997819526377416,42,36.0,True,365.0,Critical,22
6,12,12.0,111.66666666666667,42.081930669693485,3,3,1.4591479170272448,10,-134.0,False,0.0,Normal,57
11,8,8.0,102.0,22.282279955157193,2,3,1.0,8,-4.0,False,0.0,Normal,57
16,12,12.0,111.66666666666667,42.081930669693485,3,3,1.4591479170272448,10,4.0,False,0.0,Normal,57
30,16,16.0,121.5,42.22558466143482,4,3,1.811278124459133,12,4.0,False,0.0,Normal,57
31,12,12.0,101.33333333333333,32.00347203386255,3,3,1.4591479170272448,10,-4.0,False,0.0,Normal,57
43,6,6.0,109.33333333333333,31.584102892999123,2,2,0.9182958340544896,6,-6.0,False,0.0,Normal,57
44,3,3.0,216.66666666666666,88.62404990871396,2,2,0.9182958340544896,2,-3.0,False,0.0,Normal,57
47,1,1.0,342.0,0.0,1,1,0.0,1,-2.0,False,0.0,Normal,57
52,1,1.0,342.0,0.0,1,1,0.0,1,0.0,False,0.0,Normal,57
57,1,1.0,342.0,0.0,1,1,0.0,1,0.0,False,0.0,Normal,57
61,12,12.0,101.33333333333333,32.00347203386255,3,3,1.4591479170272448,10,11.0,False,0.0,Normal,57
64,4,4.0,120.5,33.5,2,2,1.0,4,-8.0,False,0.0,Normal,57
67,1,1.0,342.0,0.0,1,1,0.0,1,-3.0,False,0.0,Normal,57
72,16,16.0,146.0,107.4197374787334,3,4,1.4056390622295665,12,15.0,False,0.0,Normal,57
82,1,1.0,342.0,0.0,1,1,0.0,1,-15.0,False,0.0,Normal,57
89,1,1.0,342.0,0.0,1,1,0.0,1,0.0,False,0.0,Normal,57
91,1,1.0,342.0,0.0,1,1,0.0,1,0.0,False,0.0,Normal,57
92,16,16.0,96.5,17.406895185529212,3,4,1.4056390622295665,14,15.0,False,0.0,Normal,57
98,1,1.0,342.0,0.0,1,1,0.0,1,-15.0,False,0.0,Normal,57
114,1,1.0,342.0,0.0,1,1,0.0,1,0.0,False,0.0,Normal,57
120,3,3.0,160.0,0.0,1,1,0.0,3,2.0,False,0.0,Normal,57
121,12,12.0,108.83333333333333,35.64368418418924,2,4,1.0,10,9.0,False,0.0,Normal,57
133,1,1.0,342.0,0.0,1,1,0.0,1,-11.0,False,0.0,Normal,57
134,1,1.0,342.0,0.0,1,1,0.0,1,0.0,False,0.0,Normal,57
137,1,1.0,342.0,0.0,1,1,0.0,1,0.0,False,0.0,Normal,57
140,1,1.0,342.0,0.0,1,1,0.0,1,0.0,False,0.0,Normal,57
141,8,8.0,89.0,14.0,3,2,1.5,6,7.0,False,0.0,Normal,57
148,1,1.0,342.0,0.0,1,1,0.0,1,-7.0,False,0.0,Normal,57
168,1,1.0,342.0,0.0,1,1,0.0,1,0.0,False,0.0,Normal,57
179,1,1.0,342.0,0.0,1,1,0.0,1,0.0,False,0.0,Normal,57
181,1,1.0,342.0,0.0,1,1,0.0,1,0.0,False,0.0,Normal,57
190,1,1.0,342.0,0.0,1,1,0.0,1,0.0,False,0.0,Normal,57
191,4,4.0,109.0,35.0,2,2,1.0,4,3.0,False,0.0,Normal,57
206,1,1.0,342.0,0.0,1,1,0.0,1,-3.0,False,0.0,Normal,57
209,12,12.0,203.0,128.0,3,3,1.4591479170272448,10,11.0,False,0.0,Normal,57
218,1,1.0,342.0,0.0,1,1,0.0,1,-11.0,False,0.0,Normal,57
226,4,4.0,90.0,0.0,2,2,1.0,2,3.0,False,0.0,Normal,57
239,16,16.0,108.125,39.04624661859319,3,2,1.2987949406953985,12,12.0,False,0.0,Normal,57
240,260,260.0,111.23076923076923,45.33983449149297,4,3,1.1145020974334985,98,244.0,True,650.0,Critical,2
241,124,124.0,116.37096774193549,42.30199944598354,2,2,1.0,90,-136.0,True,310.0,Critical,32
242,40,40.0,113.3,34.57614784790232,3,2,1.2344977967946407,20,-84.0,False,0.0,Normal,57
243,56,56.0,107.60714285714286,36.164642643762164,2,2,1.0,18,16.0,False,0.0,Normal,57
244,64,64.0,124.34375,50.79653616082006,2,2,0.9971803988942642,28,8.0,False,0.0,Normal,57
245,82,82.0,129.53658536585365,52.44653377882512,2,2,0.9995708393473224,36,18.0,False,0.0,Normal,57
246,22,22.0,149.1818181818182,50.09231148012126,3,2,1.3221793455166666,10,-60.0,False,0.0,Normal,57
250,8,8.0,141.0,61.59139550294343,2,2,1.0,4,-14.0,False,0.0,Normal,57
254,30,30.0,97.66666666666667,22.860932225572565,2,8,0.9967916319816366,16,22.0,False,0.0,Normal,57
255,126,126.0,112.01587301587301,56.87956981494395,2,33,0.999818246960343,56,96.0,True,315.0,Critical,31
256,28,28.0,108.21428571428571,22.084831806431474,2,8,1.0,20,-98.0,False,0.0,Normal,57
257,76,76.0,97.60526315789474,45.03363624394327,2,20,1.0,44,48.0,True,190.0,High,50
259,8,8.0,108.5,32.13642792844283,2,3,1.0,8,-68.0,False,0.0,Normal,57
260,8,8.0,141.0,61.59139550294343,2,2,1.0,4,0.0,False,0.0,Normal,57
262,20,20.0,75.2,13.717142559585795,1,2,0.0,10,12.0,False,0.0,Normal,57
263,4,4.0,92.0,0.0,1,1,0.0,4,-16.0,False,0.0,Normal,57
268,28,28.0,95.71428571428571,15.772619002692027,3,6,1.4315602842833157,16,24.0,False,0.0,Normal,57
275,12,12.0,136.83333333333334,57.31031514677112,3,2,1.4591479170272446,12,-16.0,False,0.0,Normal,57
317,32,32.0,115.3125,45.41574444782338,3,7,1.4056390622295665,16,20.0,False,0.0,Normal,57
330,12,12.0,114.5,43.246387132337425,3,2,1.4591479170272448,6,-20.0,False,0.0,Normal,57
332,64,64.0,109.03125,40.91949747293459,2,2,1.0,26,52.0,False,0.0,Normal,57
364,4,4.0,109.0,35.0,2,2,1.0,4,-60.0,False,0.0,Normal,57
374,4,4.0,243.0,0.0,1,1,0.0,4,0.0,False,0.0,Normal,57
403,52,52.0,97.84615384615384,24.43467320096321,3,8,1.497863726042463,40,48.0,False,0.0,Normal,57
404,56,56.0,109.17857142857143,25.37582309914663,3,10,1.4701429793353156,18,4.0,False,0.0,Normal,57
405,220,220.0,95.71818181818182,25.31874326127935,3,38,1.4075776118901313,72,164.0,True,550.0,Critical,5
406,108,108.0,110.85185185185185,50.275318813069994,3,23,1.5177861951681697,64,-112.0,True,270.0,Critical,40
415,66,66.0,127.81818181818181,29.84348519887426,3,11,1.4620933843749282,46,-42.0,True,165.0,High,53
